0-20,20-30,30-40,40-50,50-60 ,60-65,65-70,70-75,75-80,80-inf,total
0,0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,0.428571429,0.571428572,2.428571431
0,0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,0.428571429,0.571428572,2.428571431
0,0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,0.428571429,0.571428572,2.428571431
0,0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,0.428571429,0.571428572,2.428571431
0,0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,0.428571429,0.571428572,2.428571431
0,0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,0.428571429,0.571428572,2.428571431
0,0,0.285714286,0.142857143,0.428571429,0.285714286,0.142857143,0.142857143,0.428571429,0.571428572,2.428571431
0,0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,2.142857143,4.000000001,13.571428573
0,0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,2.142857143,4.000000001,13.571428573
0,0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,2.142857143,4.000000001,13.571428573
0,0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,2.142857143,4.000000001,13.571428573
0,0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,2.142857143,4.000000001,13.571428573
0,0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,2.142857143,4.000000001,13.571428573
0,0,0.142857143,0.857142857,1.285714286,1.285714286,2,1.857142857,2.142857143,4.000000001,13.571428573
6.098591549,5.082159625,6.098591549,23.377934269,59.96948357,30.49295775,53.87089202,58.95305164,65.05164319,124.00469484,433.000000002
0.871227364,0.726022804,0.871227364,3.339704896,8.567069081,4.356136821,7.695841717,8.42186452,9.293091885,17.714956406,61.857142858
0.871227364,0.726022804,0.871227364,3.339704896,8.567069081,4.356136821,7.695841717,8.42186452,9.293091885,17.714956406,61.857142858
0.871227364,0.726022804,0.871227364,3.339704896,8.567069081,4.356136821,7.695841717,8.42186452,9.293091885,17.714956406,61.857142858
0.871227364,0.726022804,0.871227364,3.339704896,8.567069081,4.356136821,7.695841717,8.42186452,9.293091885,17.714956406,61.857142858
0.871227364,0.726022804,0.871227364,3.339704896,8.567069081,4.356136821,7.695841717,8.42186452,9.293091885,17.714956406,61.857142858
0.871227364,0.726022804,0.871227364,3.339704896,8.567069081,4.356136821,7.695841717,8.42186452,9.293091885,17.714956406,61.857142858
1.142857143,2.571428571,5.714285715,12,34.57142857,18.71428571,30.14285714,35.28571429,41.14285714,60.14285715,241.428571429
1.142857143,2.571428571,5.714285715,12,34.57142857,18.71428571,30.14285714,35.28571429,41.14285714,60.14285715,241.428571429
1.142857143,2.571428571,5.714285715,12,34.57142857,18.71428571,30.14285714,35.28571429,41.14285714,60.14285715,241.428571429
1.142857143,2.571428571,5.714285715,12,34.57142857,18.71428571,30.14285714,35.28571429,41.14285714,60.14285715,241.428571429
1.142857143,2.571428571,5.714285715,12,34.57142857,18.71428571,30.14285714,35.28571429,41.14285714,60.14285715,241.428571429
1.142857143,2.571428571,5.714285715,12,34.57142857,18.71428571,30.14285714,35.28571429,41.14285714,60.14285715,241.428571429
1.142857143,2.571428571,5.714285715,12,34.57142857,18.71428571,30.14285714,35.28571429,41.14285714,60.14285715,241.428571429
2.285714286,4,12.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,75.57142857,88.142857151,470.000000018
2.285714286,4,12.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,75.57142857,88.142857151,470.000000018
2.285714286,4,12.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,75.57142857,88.142857151,470.000000018
2.285714286,4,12.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,75.57142857,88.142857151,470.000000018
2.285714286,4,12.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,75.57142857,88.142857151,470.000000018
2.285714286,4,12.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,75.57142857,88.142857151,470.000000018
2.285714286,4,12.857142857,27.142857144,78.14285715,49.57142857,54.85714286,77.42857143,75.57142857,88.142857151,470.000000018
1.714285714,4,10.428571428,25.428571429,57.71428572,45.28571429,42.14285714,51.14285714,48.14285714,60.142857143,346.142857144
1.714285714,4,10.428571428,25.428571429,57.71428572,45.28571429,42.14285714,51.14285714,48.14285714,60.142857143,346.142857144
1.714285714,4,10.428571428,25.428571429,57.71428572,45.28571429,42.14285714,51.14285714,48.14285714,60.142857143,346.142857144
1.714285714,4,10.428571428,25.428571429,57.71428572,45.28571429,42.14285714,51.14285714,48.14285714,60.142857143,346.142857144
1.714285714,4,10.428571428,25.428571429,57.71428572,45.28571429,42.14285714,51.14285714,48.14285714,60.142857143,346.142857144
1.714285714,4,10.428571428,25.428571429,57.71428572,45.28571429,42.14285714,51.14285714,48.14285714,60.142857143,346.142857144
1.714285714,4,10.428571428,25.428571429,57.71428572,45.28571429,42.14285714,51.14285714,48.14285714,60.142857143,346.142857144
0.857142857,4.285714286,5.428571428,16.428571431,41.28571429,29,25.57142857,26.71428571,27,40.428571424,216.999999996
0.857142857,4.285714286,5.428571428,16.428571431,41.28571429,29,25.57142857,26.71428571,27,40.428571424,216.999999996
0.857142857,4.285714286,5.428571428,16.428571431,41.28571429,29,25.57142857,26.71428571,27,40.428571424,216.999999996
0.857142857,4.285714286,5.428571428,16.428571431,41.28571429,29,25.57142857,26.71428571,27,40.428571424,216.999999996
0.857142857,4.285714286,5.428571428,16.428571431,41.28571429,29,25.57142857,26.71428571,27,40.428571424,216.999999996
0.857142857,4.285714286,5.428571428,16.428571431,41.28571429,29,25.57142857,26.71428571,27,40.428571424,216.999999996
0.857142857,4.285714286,5.428571428,16.428571431,41.28571429,29,25.57142857,26.71428571,27,40.428571424,216.999999996
1,1.714285714,5.142857143,9.428571429,24.85714286,16.57142857,13.14285714,15.14285714,16,26.142857143,129.142857139
1,1.714285714,5.142857143,9.428571429,24.85714286,16.57142857,13.14285714,15.14285714,16,26.142857143,129.142857139
1,1.714285714,5.142857143,9.428571429,24.85714286,16.57142857,13.14285714,15.14285714,16,26.142857143,129.142857139
1,1.714285714,5.142857143,9.428571429,24.85714286,16.57142857,13.14285714,15.14285714,16,26.142857143,129.142857139
1,1.714285714,5.142857143,9.428571429,24.85714286,16.57142857,13.14285714,15.14285714,16,26.142857143,129.142857139
1,1.714285714,5.142857143,9.428571429,24.85714286,16.57142857,13.14285714,15.14285714,16,26.142857143,129.142857139
1,1.714285714,5.142857143,9.428571429,24.85714286,16.57142857,13.14285714,15.14285714,16,26.142857143,129.142857139
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0.428571429,2.142857143,3,6.428571429,14.714285715,11.42857143,9,9.285714286,9.142857143,17.571428572,83.142857147
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0,1.428571429,1.571428571,4.428571429,11.142857143,6.142857143,4.571428571,6.428571429,7.285714286,12.714285715,55.714285716
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.857142857,0.714285715,2.285714286,3.285714285,7.857142857,4.714285714,3.571428571,4,3.714285714,10.857142857,41.857142856
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.285714286,0.714285715,1.142857143,2,5,3.428571429,2.142857143,3.142857143,3.428571429,7.999999999,29.285714287
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0.571428572,0.428571429,0.857142858,1.428571429,2.714285715,2.571428571,1.285714286,3.428571429,2.285714286,5.714285714,21.285714289
0,0.571428572,0.714285715,1.571428572,3.428571429,2,1.857142857,2.142857143,3,4.285714286,19.571428574
0,0.571428572,0.714285715,1.571428572,3.428571429,2,1.857142857,2.142857143,3,4.285714286,19.571428574
0,0.571428572,0.714285715,1.571428572,3.428571429,2,1.857142857,2.142857143,3,4.285714286,19.571428574
0,0.571428572,0.714285715,1.571428572,3.428571429,2,1.857142857,2.142857143,3,4.285714286,19.571428574
0,0.571428572,0.714285715,1.571428572,3.428571429,2,1.857142857,2.142857143,3,4.285714286,19.571428574
0,0.571428572,0.714285715,1.571428572,3.428571429,2,1.857142857,2.142857143,3,4.285714286,19.571428574
0,0.571428572,0.714285715,1.571428572,3.428571429,2,1.857142857,2.142857143,3,4.285714286,19.571428574
0,0.285714286,0.428571429,1.285714286,1.571428572,1.285714286,1.142857143,1.428571429,1.285714286,3,11.714285717
0,0.285714286,0.428571429,1.285714286,1.571428572,1.285714286,1.142857143,1.428571429,1.285714286,3,11.714285717
0,0.285714286,0.428571429,1.285714286,1.571428572,1.285714286,1.142857143,1.428571429,1.285714286,3,11.714285717
0,0.285714286,0.428571429,1.285714286,1.571428572,1.285714286,1.142857143,1.428571429,1.285714286,3,11.714285717
0,0.285714286,0.428571429,1.285714286,1.571428572,1.285714286,1.142857143,1.428571429,1.285714286,3,11.714285717
0,0.285714286,0.428571429,1.285714286,1.571428572,1.285714286,1.142857143,1.428571429,1.285714286,3,11.714285717
0,0.285714286,0.428571429,1.285714286,1.571428572,1.285714286,1.142857143,1.428571429,1.285714286,3,11.714285717
0.285714286,0.142857143,0.428571429,0.428571429,1.571428572,0.428571429,0.428571429,0.714285714,0.857142857,2,7.285714288
0.285714286,0.142857143,0.428571429,0.428571429,1.571428572,0.428571429,0.428571429,0.714285714,0.857142857,2,7.285714288
0.285714286,0.142857143,0.428571429,0.428571429,1.571428572,0.428571429,0.428571429,0.714285714,0.857142857,2,7.285714288
0.285714286,0.142857143,0.428571429,0.428571429,1.571428572,0.428571429,0.428571429,0.714285714,0.857142857,2,7.285714288
0.285714286,0.142857143,0.428571429,0.428571429,1.571428572,0.428571429,0.428571429,0.714285714,0.857142857,2,7.285714288
0.285714286,0.142857143,0.428571429,0.428571429,1.571428572,0.428571429,0.428571429,0.714285714,0.857142857,2,7.285714288
0.285714286,0.142857143,0.428571429,0.428571429,1.571428572,0.428571429,0.428571429,0.714285714,0.857142857,2,7.285714288
0.714285714,0.142857143,0.285714286,0.428571429,1.142857143,0,0.142857143,0.285714286,0.428571429,1.285714286,4.857142859
0.714285714,0.142857143,0.285714286,0.428571429,1.142857143,0,0.142857143,0.285714286,0.428571429,1.285714286,4.857142859
0.714285714,0.142857143,0.285714286,0.428571429,1.142857143,0,0.142857143,0.285714286,0.428571429,1.285714286,4.857142859
0.714285714,0.142857143,0.285714286,0.428571429,1.142857143,0,0.142857143,0.285714286,0.428571429,1.285714286,4.857142859
0.714285714,0.142857143,0.285714286,0.428571429,1.142857143,0,0.142857143,0.285714286,0.428571429,1.285714286,4.857142859
0.714285714,0.142857143,0.285714286,0.428571429,1.142857143,0,0.142857143,0.285714286,0.428571429,1.285714286,4.857142859
0.714285714,0.142857143,0.285714286,0.428571429,1.142857143,0,0.142857143,0.285714286,0.428571429,1.285714286,4.857142859
0.285714286,0.428571429,0.285714286,0.857142857,1,0.285714286,0.142857143,0.428571429,0.285714286,0.571428572,4.571428574
0.285714286,0.428571429,0.285714286,0.857142857,1,0.285714286,0.142857143,0.428571429,0.285714286,0.571428572,4.571428574
0.285714286,0.428571429,0.285714286,0.857142857,1,0.285714286,0.142857143,0.428571429,0.285714286,0.571428572,4.571428574
0.285714286,0.428571429,0.285714286,0.857142857,1,0.285714286,0.142857143,0.428571429,0.285714286,0.571428572,4.571428574
0.285714286,0.428571429,0.285714286,0.857142857,1,0.285714286,0.142857143,0.428571429,0.285714286,0.571428572,4.571428574
0.285714286,0.428571429,0.285714286,0.857142857,1,0.285714286,0.142857143,0.428571429,0.285714286,0.571428572,4.571428574
0.285714286,0.428571429,0.285714286,0.857142857,1,0.285714286,0.142857143,0.428571429,0.285714286,0.571428572,4.571428574
0.142857143,0.142857143,0.285714286,0.142857143,0.714285715,0.142857143,0.571428571,0.142857143,0.142857143,0.857142858,3.285714288
0.142857143,0.142857143,0.285714286,0.142857143,0.714285715,0.142857143,0.571428571,0.142857143,0.142857143,0.857142858,3.285714288
0.142857143,0.142857143,0.285714286,0.142857143,0.714285715,0.142857143,0.571428571,0.142857143,0.142857143,0.857142858,3.285714288
0.142857143,0.142857143,0.285714286,0.142857143,0.714285715,0.142857143,0.571428571,0.142857143,0.142857143,0.857142858,3.285714288
0.142857143,0.142857143,0.285714286,0.142857143,0.714285715,0.142857143,0.571428571,0.142857143,0.142857143,0.857142858,3.285714288
0.142857143,0.142857143,0.285714286,0.142857143,0.714285715,0.142857143,0.571428571,0.142857143,0.142857143,0.857142858,3.285714288
0.142857143,0.142857143,0.285714286,0.142857143,0.714285715,0.142857143,0.571428571,0.142857143,0.142857143,0.857142858,3.285714288
0.142857143,0,0,0.285714286,0.714285714,0.142857143,0.285714286,0.142857143,0.428571429,1.142857143,3.285714287
0.142857143,0,0,0.285714286,0.714285714,0.142857143,0.285714286,0.142857143,0.428571429,1.142857143,3.285714287
0.142857143,0,0,0.285714286,0.714285714,0.142857143,0.285714286,0.142857143,0.428571429,1.142857143,3.285714287
0.142857143,0,0,0.285714286,0.714285714,0.142857143,0.285714286,0.142857143,0.428571429,1.142857143,3.285714287
0.142857143,0,0,0.285714286,0.714285714,0.142857143,0.285714286,0.142857143,0.428571429,1.142857143,3.285714287
0.142857143,0,0,0.285714286,0.714285714,0.142857143,0.285714286,0.142857143,0.428571429,1.142857143,3.285714287
0.142857143,0,0,0.285714286,0.714285714,0.142857143,0.285714286,0.142857143,0.428571429,1.142857143,3.285714287
0.142857143,0,0.285714286,0.571428572,0.857142857,0.714285714,0.285714286,0.571428571,0.571428571,0.714285715,4.714285715
0.142857143,0,0.285714286,0.571428572,0.857142857,0.714285714,0.285714286,0.571428571,0.571428571,0.714285715,4.714285715
0.142857143,0,0.285714286,0.571428572,0.857142857,0.714285714,0.285714286,0.571428571,0.571428571,0.714285715,4.714285715
0.142857143,0,0.285714286,0.571428572,0.857142857,0.714285714,0.285714286,0.571428571,0.571428571,0.714285715,4.714285715
0.142857143,0,0.285714286,0.571428572,0.857142857,0.714285714,0.285714286,0.571428571,0.571428571,0.714285715,4.714285715
0.142857143,0,0.285714286,0.571428572,0.857142857,0.714285714,0.285714286,0.571428571,0.571428571,0.714285715,4.714285715
0.142857143,0,0.285714286,0.571428572,0.857142857,0.714285714,0.285714286,0.571428571,0.571428571,0.714285715,4.714285715
0,0.285714286,0.428571429,0.285714286,1.571428571,1,0.571428571,1.142857143,0.428571429,0.857142857,6.571428572
0,0.285714286,0.428571429,0.285714286,1.571428571,1,0.571428571,1.142857143,0.428571429,0.857142857,6.571428572
0,0.285714286,0.428571429,0.285714286,1.571428571,1,0.571428571,1.142857143,0.428571429,0.857142857,6.571428572
0,0.285714286,0.428571429,0.285714286,1.571428571,1,0.571428571,1.142857143,0.428571429,0.857142857,6.571428572
